,,combined_sldl_adjusted_moment_centroid,combined_sldl_area_per,combined_sldl_convex_hull,combined_sldl_convex_hull_pop,combined_sldl_population_moments
AK,001,0.8558932599202496,0.32382087573131624,0.7910927349561852,0.9707025902195937,0.6884359799051036
AK,002,0.7745544909125375,0.2885002916120277,0.7827091464129945,0.7968911451547689,0.5665545072417442
AK,003,0.6988823722901372,0.15868023576436022,0.7691063463207298,0.9676412614980289,0.789543461832412
AK,004,0.7938189059447405,0.455177277347765,0.9056316797387723,0.4549430873513237,2.175845111651367
AK,005,0.7402321237238296,0.2801266123305162,0.9049421610199281,0.36766706517706227,6.652076815181213
AK,006,0.7573217174107654,0.15619497627566992,0.7524097104881186,0.1557713335957661,1.7393280352315506
AK,007,0.5175748361321499,0.1966453725947144,0.7378793712260333,0.9199708985085485,0.34269542797753016
AK,008,0.8023486042637418,0.3623242741795425,0.8798004655421123,0.8543363679923335,2.941546661931848
AK,009,0.886600979284397,0.20841681706804,0.7692502435559507,0.39835171004468795,0.4689411102287956
AK,010,0.8314253259138923,0.3122953561013279,0.799552258794229,0.3191885552631108,6.144605035342242
AK,011,0.5779952665408525,0.2468986631509319,0.7383039105018158,0.897967459070404,0.5883157977117556
AK,012,0.7942028373636563,0.35150363407128543,0.8270835200328945,0.7501061210629085,1.668588400590716
AK,013,0.851056414939712,0.3422802549945474,0.8388425378885276,0.732584642161535,0.8250204142478653
AK,014,0.7426191143755795,0.41974696005518747,0.8542099759468246,0.9714846518728532,6.66732905830597
AK,015,0.8865552451861021,0.38381731137591224,0.7911246446476456,0.5310734463276836,0.9273753561202985
AK,016,0.9974391853980161,0.572253132947307,0.8571791059776013,1.0010681958733907,0.849696460629073
AK,017,0.801037979725559,0.34506031655350106,0.7490021240280231,0.9289106947126676,0.49754595801678747
AK,018,0.6562609012418732,0.2526235576478541,0.7780080397184468,0.899984937490586,0.5158397448619481
AK,019,0.8614479609394257,0.43275018580607155,0.8085025230351518,0.9871666108693227,0.9556871166758208
AK,020,0.7094743932720758,0.29445003366644734,0.7834562275873032,0.8855900434847803,1.4568651811255697
AK,021,0.7183394614127906,0.36339584907656886,0.8616288516900112,0.40307066645342593,19.24193001468378
AK,022,0.7248172113156641,0.3579423043655137,0.6668594085834653,0.8553328837074863,1.2486225167758154
AK,023,0.9133934434754893,0.5450906797736871,0.839888111545615,0.9566501933820369,0.8749127916408392
AK,024,0.9249396639486223,0.652511471561334,0.962555387738119,0.9619083845025268,1.7101432387456914
AK,025,0.6970565450305242,0.3970998294523327,0.8218583087031236,0.9058014958560744,2.2673561229444923
AK,026,0.6803759478727298,0.43305317047249425,0.9142589061342424,0.9914266502297434,0.43974022867001356
AK,027,0.8118079894757205,0.44141564199173955,0.7224515783938378,1.0,1.657023751028882
AK,028,0.5711973195395297,0.290413444555219,0.7265696883962529,0.7903792290934958,0.780827483579037
AK,029,0.664205025160975,0.2797459297154968,0.7755556912881184,0.4937953704971922,0.4047049240608698
AK,030,0.5786457421639374,0.30598997199048716,0.8034292356282247,0.9345052893590542,1.647029328131803
AK,031,0.7621302404548429,0.4087876360842285,0.8857172186020565,0.9586578470073616,1.808313972537242
AK,032,0.34315686939054113,0.047473463246382075,0.3087200477022102,0.050331889206918445,0.2986850258513522
AK,033,0.6728136193735037,0.17971968354626172,0.7330122676973574,0.4872219919878436,1.64252779112772
AK,034,0.8761033521537449,0.20984788851638758,0.7626452871427284,0.8790924470096527,20.818717085311143
AK,035,0.8512343545143044,0.353797150674225,0.8081618773434271,0.9033091775198906,0.7042747209014197
AK,036,0.8634315880424809,0.3882210840369579,0.8303724273961461,0.8410898310667734,3.515191834277705
AK,037,0.05901881365473935,0.03719580880659522,0.019954282382538463,0.030725017433383343,0.006349024893716
AK,038,0.5905503354852399,0.11775868246141308,0.4332526042019327,0.8708556680563828,1.1767101163439093
AK,039,0.5483808572426044,0.07029636018672761,0.5034370534778475,0.9228881695729352,0.4672924916693437
AK,040,0.6171567370597782,0.22623075779770246,0.8588517193017624,0.975943661971831,0.43289064440304137
AL,001,0.7080848279424701,0.2309268863071513,0.7788328323876015,0.7104901157668588,0.90137955266488
AL,002,0.7559736210439574,0.26943212796541444,0.6905491886418137,0.5726984286865431,0.44470904289590424
AL,003,0.6696011711708952,0.2433473021411312,0.6980302641271865,0.830434075760039,0.7960589720644188
AL,004,0.7678631407996179,0.13299474417130946,0.6310638391669227,0.3683462289510021,0.711166378869258
AL,005,0.9206134285061492,0.38140991952559133,0.8276087030424834,0.9047666493961979,1.4214841168183248
AL,006,0.8003395781338405,0.1447172975920212,0.5890831040135034,0.38049794255787855,0.5371531837436435
AL,007,0.8939006139767801,0.22074758129949987,0.7278872743246534,0.5872951780550707,0.627350341334792
AL,008,0.9224038417735133,0.2625579349952457,0.8604886077972378,0.8761976949837716,1.4868816361890576
AL,009,0.6754613649791402,0.13504301796973617,0.6022454128675727,0.6534146907067077,0.5318111527835853
AL,010,0.7839670895727358,0.23441557678320657,0.6914623849556636,0.553148150393443,0.7850296062921513
AL,011,0.846778477246188,0.11513608519315804,0.6212102999574222,0.5706903939707105,0.6823569147541202
AL,012,0.9618859440675669,0.3133231130234302,0.8469348652737626,0.8622206917661464,1.297540225947817
AL,013,0.7468514916343668,0.1439969585990041,0.5750088515246581,0.7567540339506691,0.5754687676885771
AL,014,0.7866629756283965,0.10895316931099702,0.6260981469586329,0.4798675581296312,0.7072662750543944
AL,015,0.7083598281074969,0.11976139233004066,0.5270413873890558,0.3928556142408341,0.5875216516094052
AL,016,0.6621626287102815,0.08992423852168774,0.5651071660667265,0.3708212687549355,0.33215038982652556
AL,017,0.8244452715916913,0.19162736884203216,0.6979162368049777,0.7304395729029959,0.7374460094010371
AL,018,0.930312411917431,0.41563337800862354,0.847165633644169,0.6071281115565441,0.9967682248163152
AL,019,0.6972926370956638,0.10156648429953044,0.5783657451047722,0.5550357327046342,0.5017232940708096
AL,020,0.8780680980532836,0.2608510281125379,0.7703836098858685,0.9087214258807669,0.8694486996446527
AL,021,0.6621212257348531,0.14194852626807725,0.6110476374605854,0.6402265494665713,0.5040824485925911
AL,022,0.9219469725637789,0.22759689851296494,0.7851636058220295,0.5084232443687299,0.9544179659035076
AL,023,0.8861340439313318,0.3276179496233356,0.8638855975190021,0.9484629667835774,0.7710767175933677
AL,024,0.8427094368334251,0.2934680549675933,0.8197666238141323,0.9329112382807744,0.9505120940177341
AL,025,0.8897150478445952,0.41576225037876013,0.8154632065778541,0.9298006509357201,1.0547132811302935
AL,026,0.7085636191875245,0.14389884696597155,0.5049422926200536,0.7439631606352513,0.9156413897130705
AL,027,0.7393212008548964,0.11791552642929481,0.6412240750840286,0.589627132600808,0.6921266627959749
AL,028,0.7273511683261472,0.08379303594692765,0.6104185874406832,0.7118678250077567,0.8335927884953889
AL,029,0.8035483312579752,0.16114165844893957,0.6963604641109081,0.448734239077314,0.6968039571714026
AL,030,0.8548606896541433,0.11294920557222189,0.6284676270559846,0.43519605767194747,0.601694239724554
AL,031,0.8444220317614701,0.3033378456544317,0.7691182537669599,0.7218871549375621,0.8076716804980171
AL,032,0.5463099154173479,0.06552620011310223,0.552021682188147,0.49745282812602487,0.2610019471868098
AL,033,0.8165421932002639,0.12546913614370317,0.6226924777706694,0.5352978217267597,1.0270749503645111
AL,034,0.6191327702037736,0.13075988698982935,0.5453095450720523,0.5938088758635127,0.34937652650765977
AL,035,0.8499523497043447,0.14812308423594372,0.6617302960851702,0.6798473350197488,0.6742084428954992
AL,036,0.43190862947090697,0.06876462573276398,0.4237443770003386,0.4513021447089324,0.15261979243645774
AL,037,0.8343851492866345,0.23218694234409773,0.735613328734202,0.8030819225326274,0.7002197134605371
AL,038,0.8441797160322461,0.09099337946416743,0.6310665177217392,0.551604967900642,0.7202964096440625
AL,039,0.7799376078072425,0.2733703111339816,0.7767336012610803,0.6778941159121074,0.685271420879442
AL,040,0.6966076672835115,0.14280187578511397,0.5572941271092058,0.4527104277547802,0.7018889174898216
AL,041,0.9179256069426155,0.34817499945164343,0.8192842804696246,0.9339104860924134,0.8577844219304647
AL,042,0.8000318671647251,0.20700524609309287,0.632662940779799,0.6258390403964764,0.6956196158212555
AL,043,0.7773945907369095,0.22144413853125505,0.7489144273670718,0.7070203149680184,0.625922799475822
AL,044,0.8858638462825423,0.3015969413338645,0.77566926602033,0.6335431654676259,1.3106096581582172
AL,045,0.8053992478846735,0.166263663222785,0.5943608942717221,0.44451345755693583,0.7143148173911441
AL,046,0.42539068849446443,0.08087792273004855,0.3890497522666296,0.42019954749452915,0.2113819440755898
AL,047,0.9510778887972317,0.2605434464771684,0.7589793947031572,0.914523054697219,1.0459471302862346
AL,048,0.8521775856353946,0.23254141108076692,0.8068556917662782,0.9209388760958268,0.7860460133134703
AL,049,0.8892796721794967,0.18221425332026928,0.7418842290903613,0.5808832839524931,0.7084044121448202
AL,050,0.8395173588387103,0.1974069559906497,0.6381543535732729,0.7702917860794074,1.0506051031683725
AL,051,0.9233193703797202,0.3190622141811995,0.8216087086848283,0.811585069413184,0.8867154910075767
AL,052,0.6508068914052078,0.13426186642435142,0.4926038093125977,0.5671959136429974,0.3905326966064375
AL,053,0.6978758433954786,0.11030575720829788,0.6092513462889916,0.6340323359759042,0.8290948219455316
AL,054,0.48206927470112143,0.07934806877875927,0.41282779231263433,0.3888126849383611,0.19108676057653598
AL,055,0.49160458121002687,0.06440764598546937,0.3969894613058384,0.4231263905969827,0.38012474171138066
AL,056,0.8510983690875753,0.3507223224449446,0.8042283466893111,0.7906776836306861,1.1871513179527438
AL,057,0.7598045683211948,0.11743851137308402,0.5905750699841792,0.5745700699871245,0.7893326055728473
AL,058,0.729748744512777,0.12459945755539538,0.6208266059685003,0.7198875973943032,0.48231165485555905
AL,059,0.7484464502496627,0.13440728002456798,0.5919093124591165,0.6057171944489096,0.5055845403374953
AL,060,0.7990239428419791,0.11029454413494828,0.579103372356261,0.5625655103568755,0.7755106556156875
AL,061,0.8989480491687851,0.2680674081446095,0.7745226450499996,0.7513500900060004,0.7928205074466532
AL,062,0.8112705041748164,0.19321916299124609,0.7374393407799548,0.4291130353381699,0.587802359008715
AL,063,0.8845241332906213,0.2836260893326331,0.7077712756908685,0.6273620873712377,2.085868747457597
AL,064,0.5958241069485292,0.09886605854088132,0.5141271470817148,0.5718194935071397,0.3126712098517926
AL,065,0.8801239498779255,0.18602914680246074,0.7882380113507479,0.7273944968934075,0.7801754226168793
AL,066,0.6331207901630784,0.16019213289690862,0.545087251425018,0.8058160528668338,0.4032543603969544
AL,067,0.966578389089818,0.327424922719046,0.8569573745955565,0.9481521990619018,3.481130258488594
AL,068,0.6577043882688172,0.06700219125574326,0.4310032747807158,0.44466479206748555,0.4781516271832764
AL,069,0.6739228522326003,0.17513254236672182,0.6130090962894613,0.21845562627596973,0.40136608136636726
AL,070,0.7692660510553166,0.0936460740911091,0.580276346404722,0.6326466014340173,0.7264151601634562
AL,071,0.7492776762675671,0.10724127749513425,0.6389850698317296,0.47624448645242595,0.3767001584647071
AL,072,0.8515087204779883,0.1991559569166697,0.7328387820695275,0.8215450394956156,0.5939651162480984
AL,073,0.7418105433519846,0.09006840378987753,0.584683333253773,0.6385587388965345,1.0305634703243547
AL,074,0.7313088457404295,0.22914423040733653,0.6423863744835178,0.6438899155040837,0.5612405610492425
AL,075,0.6923183580204676,0.1273652309935045,0.5432266242632483,0.1887721143495731,0.549199079253127
AL,076,0.5917140625766694,0.1625193050947525,0.5145741327129927,0.5485918854415275,0.3884321971917832
AL,077,0.6823668471813381,0.19571185950283776,0.6630966348050816,0.7206322821433612,0.49938930250580016
AL,078,0.6968236228786132,0.15862771046545052,0.5427178307846378,0.32099377667265017,0.6281964696356392
AL,079,0.924375790885095,0.14943269799273914,0.7402454831039808,0.8310195227765727,1.601395407097679
AL,080,0.7328468253154078,0.21195979986852295,0.7003433403861707,0.8264676795828464,1.061541998641602
AL,081,0.6743237958351639,0.15380969225445162,0.5662483634708655,0.5742145991424035,0.6172675371802352
AL,082,0.8763480235084256,0.14452555670869205,0.6543636591674616,0.3591888525976925,0.9864106182924325
AL,083,0.687786656863823,0.07929343614097789,0.5220934871648454,0.47722507110677437,0.2914725705156025
AL,084,0.8976341785889091,0.24246968466951088,0.7293990369439517,0.8703447753564193,0.7615487987361056
AL,085,0.9405852944560935,0.2889484330252376,0.7863411548844541,0.7503525391111038,0.8489343579298047
AL,086,0.9231635920905821,0.30264776004498406,0.8825457657849594,0.6037777982109315,1.4561419669635087
AL,087,0.7169261255819336,0.45317849083280526,0.8712311552640671,0.9204534075661386,0.5118339954363029
AL,088,0.8330590592828028,0.2054681093323284,0.6711512984653806,0.8875801343940681,1.3434775825791974
AL,089,0.7758288253960981,0.19044987095695592,0.5955840444782922,0.6379163466238391,0.718612078666246
