State,US_HR,US_HR (Contested Only),State_Sen,State_HR,,
AL,0.54,0.81,,,,
AK,0.12,0.12,0.35,0.66,,
AZ,-1.30,-1.82,5.82,,,
AR,0.59,1.23,,,,
CA,1.23,-0.99,,,,
CO,0.30,0.40,,,,
CT,-1.16,-1.16,,,,
DE,-0.18,-0.18,,,,
FL,1.86,2.93,,,,
GA,-0.58,0.45,,,,
HI,-0.30,-0.30,,,,
ID,0.35,0.35,,,,
IL,-0.94,-1.38,,,,
IN,1.75,1.75,,,,
IA,0.12,0.12,,,,
KS,-0.33,0.74,,,,
KY,0.80,0.80,,,,
LA,-1.13,0.64,,,,
ME,-0.53,-0.53,,,,
MD,-0.53,-0.53,,,,
MA,-0.02,-1.09,,,,
MI,2.76,2.76,,,,
MN,0.01,0.01,,,,
MS,-0.05,0.30,,,,
MO,0.93,0.93,,,,
MT,0.39,0.39,,,,
NE,0.65,0.65,,,,
NV,-0.02,-0.02,,,,
NH,-0.91,-0.91,,,,
NJ,1.35,1.35,,,,
NM,-0.10,-0.10,,,,
NY,1.52,1.28,,,,
NC,2.74,2.74,,,,
ND,0.36,0.36,,,,
OH,3.34,3.32,,,,
OK,0.74,0.74,,,,
OR,-0.70,-0.70,,,,
PA,4.27,4.27,,,,
RI,-0.64,-0.64,,,,
SC,1.25,1.24,,,,
SD,0.35,0.35,,,,
TN,0.12,0.73,,,,
TX,-1.22,0.36,,,,
UT,-0.33,-0.33,,,,
VT,0.01,0.01,,,,
VA,2.29,2.29,,,,
WA,-0.11,-0.11,,,,
WV,-0.09,-0.09,,,,
WI,1.12,1.12,,,,
WY,0.01,0.01,,,,
